account_id,month_in_areas,total_arrears_amount,ptp_broken,ptp_kept,call_successful,call_unsuccessful,score,score %,score_id,behavior
1698754,0,0.22,1,0,1,0,210.0,40.0,1.0,Confident
1698764,0,1985.85,3,1,4,3,210.0,40.0,1.0,Confident
1698783,0,234.93,0,0,0,4,210.0,40.0,1.0,Confident
1698821,1,1564.64,2,0,3,4,210.0,40.0,1.0,Confident
1698826,0,201.6,0,0,0,5,210.0,40.0,1.0,Confident
1698835,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1698849,1,741.98,1,0,1,3,210.0,40.0,1.0,Confident
1698851,0,251.92,1,0,1,8,210.0,40.0,1.0,Confident
1698854,0,0.0,0,1,2,2,210.0,40.0,1.0,Confident
1698858,0,884.96,0,0,0,4,210.0,40.0,1.0,Confident
1698879,0,1184.15,0,0,0,2,210.0,40.0,1.0,Confident
1698903,0,143.17,1,0,2,5,210.0,40.0,1.0,Confident
1698923,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1698950,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1698969,0,0.0,1,0,1,3,210.0,40.0,1.0,Confident
1698971,0,0.0,0,0,0,5,210.0,40.0,1.0,Confident
1698975,7,1669.29,0,0,1,0,195.0,25.0,3.0,Non Confident
1698977,0,2.27,0,0,0,8,210.0,40.0,1.0,Confident
1699028,0,216.43,1,1,2,6,210.0,40.0,1.0,Confident
1699049,1,548.42,0,0,1,16,210.0,40.0,1.0,Confident
1699124,1,1586.59,4,1,5,2,220.0,40.0,1.0,Confident
1699131,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699133,0,1146.04,5,2,9,2,230.0,40.0,1.0,Confident
1699145,0,688.54,0,0,0,14,210.0,40.0,1.0,Confident
1699159,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699170,2,3265.37,1,0,2,6,210.0,40.0,1.0,Confident
1699209,0,2.2,0,0,0,6,210.0,40.0,1.0,Confident
1699219,0,4.68,0,0,0,10,210.0,40.0,1.0,Confident
1699250,0,376.34,0,0,0,5,210.0,40.0,1.0,Confident
1699307,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1699318,0,0.0,0,1,1,4,210.0,40.0,1.0,Confident
1699372,1,577.96,2,0,2,0,210.0,40.0,1.0,Confident
1699393,0,0.0,1,1,2,1,210.0,40.0,1.0,Confident
1699450,1,869.68,0,0,0,11,210.0,40.0,1.0,Confident
1699475,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699480,0,592.15,1,0,3,12,210.0,40.0,1.0,Confident
1699494,0,368.76,2,0,2,4,210.0,40.0,1.0,Confident
1699498,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
1699536,0,215.06,0,0,0,1,210.0,40.0,1.0,Confident
1699660,0,410.22,1,0,1,6,210.0,40.0,1.0,Confident
1699668,0,10610.61,0,0,1,0,210.0,40.0,1.0,Confident
1699677,20,8611.87,0,0,1,0,195.0,25.0,3.0,Non Confident
1699682,0,239.3,0,0,0,3,210.0,40.0,1.0,Confident
1699688,0,279.25,1,0,1,14,210.0,40.0,1.0,Confident
1699714,0,386.0,0,0,0,7,210.0,40.0,1.0,Confident
1699715,0,0.0,2,0,2,0,210.0,40.0,1.0,Confident
1699721,0,121.2,0,0,0,1,210.0,40.0,1.0,Confident
1699758,0,9.66,3,0,3,13,210.0,40.0,1.0,Confident
1699771,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1699781,0,759.68,2,1,3,5,210.0,40.0,1.0,Confident
1699788,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1699811,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699813,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699820,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699850,1,1134.48,4,0,4,11,210.0,40.0,1.0,Confident
1699869,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1699875,1,2458.0,1,0,1,9,210.0,40.0,1.0,Confident
1699907,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1699963,0,0.0,4,2,9,8,230.0,40.0,1.0,Confident
1700003,0,232.37,1,0,2,8,210.0,40.0,1.0,Confident
1700008,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1700026,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1700039,0,228.24,0,0,0,3,210.0,40.0,1.0,Confident
1700050,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700060,0,306.09,3,0,3,6,210.0,40.0,1.0,Confident
1700097,0,733.77,0,0,1,7,210.0,40.0,1.0,Confident
1700109,0,0.38,0,0,0,5,210.0,40.0,1.0,Confident
1700112,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700113,0,7.09,0,0,0,7,210.0,40.0,1.0,Confident
1700116,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700121,2,2662.76,0,0,4,7,210.0,40.0,1.0,Confident
1700125,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700138,0,0.85,0,0,0,5,210.0,40.0,1.0,Confident
1700156,0,121.53,1,1,4,2,210.0,40.0,1.0,Confident
1700162,0,0.12,0,0,0,5,210.0,40.0,1.0,Confident
1700174,1,1306.47,0,0,0,6,210.0,40.0,1.0,Confident
1700196,5,788.08,0,0,1,0,205.0,35.0,2.0,Potential Confident
1700208,2,4969.61,0,0,0,15,210.0,40.0,1.0,Confident
1700213,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1700245,0,159.59,1,0,1,1,210.0,40.0,1.0,Confident
1700254,1,1959.5,1,0,1,4,210.0,40.0,1.0,Confident
1700292,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
